Subject,Start Date,Start Time,End Date,End Time,All Day Event
7A Final exam – Science,02/15/2023,08:30:00,02/15/2023,10:30:00,FALSE
7A Final exam – English Lang,02/16/2023,08:30:00,02/16/2023,10:30:00,FALSE
7A Final exam – Computer Theory,02/17/2023,08:30:00,02/17/2023,10:30:00,FALSE
7A Final exam – Geography,02/20/2023,08:30:00,02/20/2023,10:30:00,FALSE
7A Final exam – Hindi,02/22/2023,08:30:00,02/22/2023,10:30:00,FALSE
7A Final exam – Eng Literature,02/24/2023,08:30:00,02/24/2023,10:30:00,FALSE
7A Final exam – Maths,02/27/2023,08:30:00,02/27/2023,10:30:00,FALSE
7A Final exam – Marathi,02/28/2023,08:30:00,02/28/2023,10:00:00,FALSE
7A Final exam – History Civics,03/02/2023,08:30:00,03/02/2023,10:30:00,FALSE
7A Final exam – Arts,03/02/2023,08:30:00,03/02/2023,10:30:00,FALSE

